iter	Passed	Remaining
0	12	12566
1	104	52021
2	132	44035
3	151	37778
4	172	34351
5	185	30800
6	206	29351
7	223	27756
8	229	25272
9	247	24515
10	258	23276
11	275	22660
12	292	22194
13	310	21883
14	328	21576
15	350	21581
16	369	21345
17	386	21103
18	404	20901
19	424	20814
20	444	20725
21	456	20306
22	467	19877
23	490	19932
24	499	19474
25	506	18980
26	517	18643
27	535	18602
28	558	18704
29	570	18434
30	586	18346
31	603	18255
32	614	18001
33	630	17917
34	648	17879
35	664	17799
36	682	17760
37	699	17705
38	718	17710
39	744	17866
40	775	18137
41	805	18372
42	811	18067
43	837	18195
44	856	18175
45	874	18144
46	895	18161
47	910	18061
48	923	17927
49	936	17791
50	952	17715
51	975	17790
52	987	17640
53	1002	17565
54	1010	17362
55	1014	17103
56	1030	17053
57	1046	16999
58	1064	16975
59	1084	16985
60	1094	16855
61	1155	17487
62	1179	17546
63	1197	17510
64	1214	17467
65	1230	17416
66	1246	17362
67	1262	17306
68	1278	17250
69	1286	17091
70	1302	17041
71	1318	16998
72	1335	16952
73	1351	16916
74	1368	16881
75	1375	16722
76	1381	16554
77	1402	16583
78	1422	16583
79	1438	16546
80	1458	16545
81	1474	16512
82	1493	16501
83	1509	16457
84	1528	16450
85	1544	16413
86	1562	16398
87	1578	16363
88	1598	16363
89	1618	16361
90	1639	16381
91	1660	16388
92	1679	16380
93	1702	16404
94	1720	16387
95	1738	16374
96	1754	16330
97	1773	16324
98	1794	16332
99	1816	16352
100	1841	16389
101	1858	16360
102	1876	16338
103	1889	16281
104	1897	16176
105	1914	16143
106	1930	16112
107	1947	16083
108	1963	16054
109	1983	16050
110	1999	16010
111	2021	16026
112	2038	16000
113	2057	15989
114	2074	15966
115	2091	15937
116	2107	15903
117	2125	15884
118	2141	15856
119	2204	16169
120	2222	16143
121	2257	16246
122	2276	16234
123	2303	16273
124	2320	16243
125	2336	16209
126	2352	16171
127	2366	16119
128	2381	16082
129	2397	16045
130	2415	16023
131	2437	16029
132	2446	15945
133	2470	15963
134	2489	15952
135	2505	15918
136	2509	15808
137	2515	15712
138	2518	15601
139	2529	15539
140	2546	15515
141	2561	15476
142	2577	15445
143	2594	15424
144	2611	15400
145	2620	15325
146	2641	15325
147	2657	15299
148	2678	15295
149	2694	15269
150	2713	15258
151	2730	15231
152	2747	15209
153	2763	15179
154	2780	15157
155	2798	15138
156	2814	15112
157	2831	15087
158	2848	15067
159	2866	15051
160	2885	15038
161	2895	14980
162	2915	14973
163	2919	14882
164	2926	14807
165	2944	14794
166	2962	14779
167	2980	14761
168	2996	14736
169	3016	14727
170	3032	14703
171	3041	14639
172	3058	14618
173	3076	14604
174	3093	14581
175	3109	14558
176	3125	14534
177	3144	14520
178	3163	14507
179	3181	14492
180	3198	14472
181	3206	14410
182	3264	14573
183	3281	14552
184	3293	14510
185	3314	14506
186	3332	14487
187	3348	14463
188	3367	14448
189	3384	14426
190	3400	14403
191	3417	14381
192	3433	14356
193	3449	14331
194	3466	14311
195	3477	14266
196	3497	14257
197	3516	14243
198	3533	14221
199	3550	14203
200	3564	14170
201	3570	14104
202	3586	14080
203	3603	14059
204	3614	14016
205	3630	13992
206	3645	13966
207	3662	13945
208	3679	13926
209	3698	13912
210	3710	13874
211	3727	13855
212	3746	13843
213	3763	13821
214	3781	13807
215	3797	13784
216	3813	13761
217	3830	13738
218	3846	13717
219	3863	13697
220	3879	13674
221	3897	13658
222	3917	13649
223	3945	13669
224	3995	13761
225	3998	13694
226	4014	13671
227	4032	13654
228	4049	13632
229	4065	13609
230	4082	13589
231	4099	13569
232	4116	13549
233	4132	13528
234	4150	13512
235	4167	13492
236	4184	13470
237	4199	13446
238	4206	13392
239	4224	13378
240	4241	13356
241	4259	13341
242	4330	13490
243	4350	13480
244	4367	13460
245	4387	13448
246	4403	13424
247	4409	13369
248	4425	13347
249	4441	13324
250	4450	13281
251	4466	13257
252	4484	13241
253	4501	13220
254	4518	13202
255	4535	13181
256	4552	13161
257	4568	13139
258	4592	13138
259	4601	13096
260	4619	13078
261	4635	13057
262	4652	13037
263	4668	13014
264	4684	12993
265	4701	12972
266	4707	12922
267	4724	12904
268	4742	12886
269	4761	12873
270	4778	12853
271	4798	12843
272	4817	12829
273	4833	12806
274	4850	12788
275	4867	12767
276	4883	12746
277	4900	12726
278	4918	12710
279	4934	12688
280	4951	12670
281	4968	12650
282	4981	12621
283	4999	12603
284	5018	12589
285	5034	12567
286	5051	12548
287	5067	12529
288	5084	12508
289	5100	12487
290	5119	12472
291	5136	12455
292	5154	12438
293	5171	12418
294	5191	12405
295	5208	12386
296	5222	12361
297	5239	12341
298	5258	12327
299	5274	12306
300	5290	12285
301	5306	12265
302	5324	12248
303	5485	12557
304	5504	12541
305	5521	12522
306	5546	12520
307	5562	12497
308	5578	12474
309	5595	12454
310	5611	12431
311	5627	12408
312	5648	12396
313	5665	12376
314	5703	12403
315	5724	12391
316	5741	12369
317	5757	12347
318	5773	12325
319	5789	12302
320	5805	12279
321	5820	12256
322	5836	12232
323	5852	12210
324	5867	12187
325	5883	12164
326	5900	12144
327	5918	12126
328	5935	12106
329	5952	12085
330	5969	12064
331	5986	12045
332	6002	12022
333	6017	11999
334	6031	11972
335	6048	11953
336	6064	11931
337	6079	11907
338	6095	11884
339	6111	11863
340	6126	11840
341	6143	11819
342	6161	11802
343	6177	11781
344	6193	11758
345	6211	11739
346	6227	11718
347	6242	11696
348	6258	11674
349	6273	11651
350	6289	11629
351	6306	11609
352	6321	11587
353	6339	11568
354	6356	11548
355	6371	11525
356	6391	11511
357	6406	11488
358	6421	11466
359	6437	11444
360	6452	11421
361	6467	11398
362	6487	11384
363	6552	11449
364	6575	11439
365	6591	11418
366	6607	11396
367	6623	11374
368	6640	11356
369	6656	11333
370	6672	11312
371	6688	11291
372	6704	11270
373	6721	11249
374	6737	11229
375	6755	11211
376	6772	11191
377	6789	11172
378	6804	11149
379	6820	11128
380	6836	11107
381	6852	11085
382	6867	11063
383	6883	11041
384	6899	11020
385	6914	10998
386	6930	10977
387	6947	10957
388	6965	10939
389	6982	10921
390	6998	10900
391	7015	10880
392	7033	10864
393	7050	10843
394	7065	10821
395	7080	10799
396	7096	10779
397	7112	10758
398	7128	10736
399	7144	10716
400	7160	10696
401	7177	10676
402	7194	10658
403	7212	10640
404	7228	10620
405	7244	10599
406	7260	10578
407	7276	10557
408	7292	10536
409	7307	10516
410	7323	10495
411	7340	10476
412	7358	10459
413	7376	10440
414	7392	10421
415	7408	10400
416	7424	10379
417	7439	10358
418	7455	10338
419	7472	10319
420	7488	10299
421	7505	10279
422	7521	10259
423	7537	10239
424	7559	10227
425	7623	10272
426	7644	10258
427	7668	10248
428	7685	10229
429	7702	10210
430	7720	10192
431	7737	10173
432	7753	10152
433	7769	10132
434	7786	10113
435	7803	10094
436	7819	10073
437	7834	10053
438	7851	10033
439	7867	10013
440	7882	9992
441	7899	9972
442	7914	9951
443	7930	9930
444	7946	9910
445	7963	9891
446	7979	9871
447	7996	9852
448	8012	9832
449	8028	9812
450	8044	9792
451	8060	9771
452	8075	9751
453	8091	9731
454	8107	9710
455	8123	9690
456	8138	9670
457	8155	9651
458	8172	9632
459	8188	9613
460	8206	9594
461	8223	9576
462	8239	9556
463	8255	9536
464	8270	9515
465	8286	9495
466	8302	9476
467	8319	9456
468	8334	9436
469	8349	9415
470	8365	9396
471	8381	9375
472	8398	9357
473	8419	9343
474	8435	9323
475	8450	9302
476	8467	9283
477	8481	9262
478	8498	9243
479	8513	9222
480	8528	9201
481	8544	9182
482	8560	9163
483	8576	9143
484	8592	9124
485	8609	9105
486	8629	9090
487	8693	9121
488	8710	9102
489	8732	9088
490	8747	9068
491	8763	9048
492	8778	9027
493	8794	9007
494	8810	8988
495	8828	8970
496	8843	8950
497	8859	8930
498	8874	8910
499	8890	8890
500	8906	8871
501	8922	8851
502	8938	8831
503	8955	8812
504	8971	8793
505	9014	8800
506	9052	8802
507	9070	8784
508	9086	8764
509	9101	8744
510	9117	8725
511	9135	8707
512	9151	8687
513	9168	8668
514	9183	8648
515	9202	8631
516	9218	8612
517	9236	8594
518	9252	8575
519	9268	8555
520	9284	8535
521	9301	8517
522	9318	8498
523	9333	8478
524	9349	8458
525	9366	8440
526	9384	8422
527	9401	8404
528	9417	8384
529	9433	8365
530	9449	8346
531	9465	8326
532	9481	8307
533	9497	8287
534	9512	8268
535	9528	8248
536	9544	8229
537	9560	8210
538	9576	8190
539	9593	8171
540	9612	8155
541	9628	8136
542	9645	8117
543	9662	8099
544	9683	8084
545	9747	8105
546	9765	8087
547	9796	8080
548	9817	8065
549	9835	8047
550	9853	8029
551	9869	8009
552	9884	7990
553	9900	7970
554	9916	7950
555	9931	7930
556	9947	7911
557	9963	7892
558	9980	7874
559	9998	7855
560	10015	7837
561	10030	7817
562	10046	7797
563	10062	7778
564	10077	7759
565	10094	7740
566	10109	7720
567	10124	7700
568	10141	7682
569	10157	7662
570	10174	7644
571	10190	7625
572	10206	7606
573	10222	7586
574	10253	7578
575	10268	7559
576	10284	7539
577	10301	7521
578	10316	7501
579	10333	7482
580	10350	7464
581	10367	7445
582	10384	7427
583	10400	7408
584	10418	7390
585	10434	7371
586	10449	7352
587	10466	7333
588	10482	7314
589	10497	7295
590	10515	7276
591	10532	7258
592	10548	7240
593	10570	7224
594	10586	7205
595	10607	7190
596	10624	7172
597	10640	7153
598	10656	7134
599	10673	7115
600	10689	7096
601	10707	7078
602	10722	7059
603	10738	7040
604	10759	7024
605	10829	7040
606	10846	7022
607	10878	7013
608	10894	6994
609	10913	6977
610	10931	6959
611	10953	6944
612	10971	6926
613	10990	6909
614	11010	6892
615	11027	6874
616	11049	6858
617	11071	6843
618	11109	6837
619	11133	6824
620	11154	6807
621	11171	6789
622	11191	6772
623	11208	6753
624	11227	6736
625	11244	6717
626	11265	6702
627	11283	6683
628	11314	6673
629	11331	6655
630	11352	6638
631	11369	6620
632	11386	6601
633	11405	6584
634	11427	6568
635	11453	6555
636	11470	6536
637	11491	6519
638	11538	6518
639	11582	6514
640	11603	6498
641	11624	6481
642	11643	6464
643	11660	6445
644	11678	6427
645	11695	6408
646	11718	6393
647	11736	6375
648	11753	6356
649	11774	6340
650	11790	6320
651	11805	6301
652	11822	6282
653	11847	6267
654	12008	6324
655	12033	6310
656	12051	6291
657	12067	6272
658	12083	6252
659	12102	6234
660	12118	6215
661	12136	6196
662	12153	6177
663	12173	6160
664	12191	6141
665	12210	6123
666	12228	6105
667	12248	6087
668	12264	6067
669	12283	6050
670	12299	6030
671	12316	6011
672	12331	5991
673	12348	5972
674	12365	5953
675	12383	5935
676	12399	5915
677	12419	5898
678	12436	5879
679	12456	5862
680	12474	5843
681	12493	5825
682	12510	5806
683	12530	5788
684	12546	5769
685	12564	5751
686	12580	5731
687	12597	5712
688	12613	5693
689	12632	5675
690	12649	5656
691	12668	5638
692	12685	5619
693	12705	5602
694	12721	5582
695	12738	5563
696	12755	5544
697	12771	5525
698	12790	5507
699	12809	5489
700	12825	5470
701	12843	5452
702	12861	5433
703	12877	5414
704	12895	5396
705	12911	5376
706	12928	5357
707	12944	5338
708	12960	5319
709	12976	5300
710	12992	5280
711	13013	5263
712	13085	5267
713	13102	5248
714	13120	5229
715	13136	5210
716	13154	5192
717	13170	5172
718	13185	5153
719	13201	5134
720	13217	5114
721	13233	5095
722	13249	5076
723	13265	5057
724	13283	5038
725	13300	5019
726	13318	5001
727	13335	4982
728	13354	4964
729	13370	4945
730	13387	4926
731	13403	4907
732	13421	4888
733	13437	4869
734	13455	4851
735	13471	4832
736	13488	4813
737	13504	4794
738	13521	4775
739	13538	4756
740	13556	4738
741	13571	4719
742	13588	4700
743	13604	4681
744	13622	4662
745	13638	4643
746	13655	4625
747	13673	4606
748	13690	4587
749	13706	4568
750	13726	4550
751	13743	4532
752	13759	4513
753	13774	4494
754	13793	4476
755	13809	4457
756	13824	4437
757	13840	4418
758	13857	4400
759	13872	4380
760	13888	4361
761	13904	4342
762	13922	4324
763	13939	4305
764	13956	4287
765	13972	4268
766	13988	4249
767	14004	4230
768	14020	4211
769	14036	4192
770	14052	4173
771	14068	4154
772	14090	4137
773	14185	4141
774	14228	4130
775	14244	4111
776	14261	4092
777	14277	4073
778	14294	4055
779	14313	4037
780	14329	4018
781	14345	3999
782	14361	3980
783	14378	3961
784	14394	3942
785	14410	3923
786	14427	3904
787	14444	3886
788	14461	3867
789	14478	3848
790	14494	3829
791	14511	3811
792	14527	3792
793	14543	3773
794	14559	3754
795	14575	3735
796	14591	3716
797	14608	3697
798	14625	3679
799	14641	3660
800	14662	3642
801	14677	3623
802	14693	3604
803	14712	3586
804	14728	3567
805	14743	3548
806	14759	3529
807	14777	3511
808	14797	3493
809	14818	3475
810	14860	3463
811	14878	3444
812	14894	3425
813	14911	3407
814	14928	3388
815	14944	3369
816	14960	3350
817	14976	3332
818	14995	3313
819	15010	3295
820	15030	3276
821	15046	3258
822	15062	3239
823	15078	3220
824	15097	3202
825	15112	3183
826	15130	3165
827	15146	3146
828	15164	3127
829	15190	3111
830	15264	3104
831	15284	3086
832	15300	3067
833	15316	3048
834	15332	3029
835	15348	3010
836	15366	2992
837	15382	2973
838	15400	2955
839	15416	2936
840	15433	2917
841	15448	2898
842	15468	2880
843	15485	2862
844	15503	2843
845	15520	2825
846	15538	2806
847	15554	2788
848	15571	2769
849	15588	2750
850	15604	2732
851	15619	2713
852	15638	2694
853	15654	2676
854	15671	2657
855	15687	2639
856	15708	2621
857	15726	2602
858	15745	2584
859	15761	2565
860	15778	2547
861	15794	2528
862	15811	2510
863	15827	2491
864	15843	2472
865	15859	2454
866	15877	2435
867	15893	2416
868	15945	2403
869	15983	2388
870	16001	2369
871	16017	2351
872	16033	2332
873	16049	2313
874	16066	2295
875	16082	2276
876	16099	2257
877	16118	2239
878	16134	2220
879	16151	2202
880	16168	2183
881	16184	2165
882	16201	2146
883	16225	2129
884	16256	2112
885	16330	2101
886	16349	2082
887	16367	2064
888	16396	2047
889	16412	2028
890	16431	2010
891	16447	1991
892	16466	1973
893	16483	1954
894	16502	1936
895	16518	1917
896	16538	1899
897	16554	1880
898	16573	1862
899	16607	1845
900	16680	1832
901	16718	1816
902	16737	1797
903	16763	1780
904	16804	1763
905	16840	1747
906	16865	1729
907	16884	1710
908	16903	1692
909	16923	1673
910	16943	1655
911	16962	1636
912	16982	1618
913	17001	1599
914	17018	1580
915	17035	1562
916	17051	1543
917	17068	1524
918	17086	1506
919	17103	1487
920	17122	1468
921	17139	1449
922	17156	1431
923	17171	1412
924	17187	1393
925	17203	1374
926	17221	1356
927	17236	1337
928	17252	1318
929	17267	1299
930	17282	1280
931	17298	1262
932	17319	1243
933	17391	1228
934	17411	1210
935	17432	1191
936	17448	1173
937	17463	1154
938	17480	1135
939	17497	1116
940	17513	1098
941	17531	1079
942	17578	1062
943	17594	1043
944	17612	1025
945	17643	1007
946	17661	988
947	17678	969
948	17694	950
949	17711	932
950	17731	913
951	17747	894
952	17763	876
953	17779	857
954	17795	838
955	17812	819
956	17827	801
957	17851	782
958	17867	763
959	17882	745
960	17898	726
961	17915	707
962	17931	688
963	17951	670
964	17968	651
965	17983	632
966	17999	614
967	18015	595
968	18031	576
969	18047	558
970	18063	539
971	18079	520
972	18095	502
973	18110	483
974	18128	464
975	18145	446
976	18163	427
977	18181	408
978	18198	390
979	18213	371
980	18229	353
981	18245	334
982	18260	315
983	18278	297
984	18296	278
985	18312	260
986	18329	241
987	18346	222
988	18371	204
989	18387	185
990	18504	168
991	18578	149
992	18600	131
993	18623	112
994	18643	93
995	18657	74
996	18675	56
997	18691	37
998	18706	18
999	18725	0
