iter	Logloss	Accuracy
0	0.6732113417	0.8189762797
1	0.6547909079	0.8202247191
2	0.6367683645	0.8202247191
3	0.6207277153	0.8214731586
4	0.6074268452	0.822721598
5	0.598585828	0.8177278402
6	0.588426128	0.8164794007
7	0.5763036021	0.8189762797
8	0.5665163657	0.8189762797
9	0.5561147942	0.8202247191
10	0.5477022327	0.8202247191
11	0.5393529775	0.8202247191
12	0.5323588462	0.8214731586
13	0.5243897139	0.8214731586
14	0.5176240542	0.8189762797
15	0.5111044084	0.8189762797
16	0.5050848358	0.8189762797
17	0.5018835204	0.8177278402
18	0.496871371	0.8214731586
19	0.4920345775	0.8202247191
20	0.4859154177	0.8214731586
21	0.4835295948	0.8164794007
22	0.479402542	0.8152309613
23	0.4752423629	0.8202247191
24	0.4722713883	0.8152309613
25	0.4682130418	0.8202247191
26	0.4647319504	0.822721598
27	0.4609036797	0.822721598
28	0.4588394715	0.8214731586
29	0.4563980787	0.8189762797
30	0.4527992107	0.8189762797
31	0.449045006	0.8189762797
32	0.4477100716	0.8239700375
33	0.4457864795	0.8214731586
34	0.443924526	0.822721598
35	0.4430124469	0.8202247191
36	0.440736502	0.8202247191
37	0.4379196996	0.822721598
38	0.4348895366	0.8252184769
39	0.4329301836	0.8252184769
40	0.4307122902	0.8264669164
41	0.4296874965	0.8252184769
42	0.4279801455	0.8252184769
43	0.4260946729	0.8264669164
44	0.4239337731	0.8264669164
45	0.4231372662	0.8277153558
46	0.4213567305	0.8264669164
47	0.419873801	0.8264669164
48	0.4176998659	0.8252184769
49	0.4160502922	0.8252184769
50	0.4148350625	0.8264669164
51	0.4135372229	0.8264669164
52	0.412556189	0.8264669164
53	0.4111431351	0.8264669164
54	0.4104879314	0.8264669164
55	0.4096368201	0.8277153558
56	0.4083169498	0.8252184769
57	0.4076365653	0.8264669164
58	0.4068852296	0.8264669164
59	0.4053700493	0.8289637953
60	0.4039040289	0.8264669164
61	0.4030463037	0.8277153558
62	0.4024072137	0.8277153558
