iter	Passed	Remaining
0	172	172080
1	194	96929
2	210	69982
3	225	56231
4	240	47805
5	254	42215
6	259	36818
7	273	33921
8	288	31756
9	309	30634
10	323	29055
11	338	27842
12	344	26185
13	358	25263
14	373	24529
15	379	23362
16	393	22733
17	407	22252
18	412	21306
19	421	20669
20	430	20073
21	444	19760
22	457	19444
23	470	19137
24	484	18900
25	497	18633
26	510	18397
27	517	17977
28	530	17764
29	543	17558
30	556	17401
31	561	16980
32	575	16865
33	589	16746
34	602	16615
35	615	16470
36	625	16269
37	637	16149
38	651	16042
39	664	15941
40	676	15820
41	689	15719
42	702	15636
43	709	15410
44	722	15329
45	735	15258
46	749	15187
47	763	15152
48	774	15037
49	784	14901
50	796	14825
51	809	14755
52	814	14558
53	829	14536
54	840	14442
55	849	14326
56	862	14268
57	871	14159
58	881	14062
59	892	13981
60	904	13925
61	935	14149
62	950	14138
63	968	14168
64	982	14133
65	997	14111
66	1008	14044
67	1013	13887
68	1028	13880
69	1042	13853
70	1055	13809
71	1066	13741
72	1080	13727
73	1092	13672
74	1105	13632
75	1114	13554
76	1128	13524
77	1141	13496
78	1155	13469
79	1160	13343
80	1165	13221
81	1179	13202
82	1212	13396
83	1228	13392
84	1243	13381
85	1256	13355
86	1269	13321
87	1281	13285
88	1296	13272
89	1310	13247
90	1314	13133
91	1325	13085
92	1339	13066
93	1350	13016
94	1365	13011
95	1386	13059
96	1404	13071
97	1411	12992
98	1427	12992
99	1444	13000
100	1461	13007
101	1471	12956
102	1485	12939
103	1498	12908
104	1512	12890
105	1524	12856
106	1536	12819
107	1546	12773
108	1561	12767
109	1577	12766
110	1592	12756
111	1606	12740
112	1622	12737
113	1638	12732
114	1652	12716
115	1666	12698
116	1682	12694
117	1694	12668
118	1708	12651
119	1722	12629
120	1732	12584
121	1746	12572
122	1784	12725
123	1818	12846
124	1827	12792
125	1841	12771
126	1855	12752
127	1862	12687
128	1875	12665
129	1879	12574
130	1887	12521
131	1901	12501
132	1914	12479
133	1926	12449
134	1938	12420
135	1948	12377
136	1965	12380
137	1989	12428
138	1994	12355
139	2008	12335
140	2014	12275
141	2029	12260
142	2043	12244
143	2056	12227
144	2070	12210
145	2083	12189
146	2097	12171
147	2111	12153
148	2122	12124
149	2138	12118
150	2152	12100
151	2168	12098
152	2182	12084
153	2197	12074
154	2210	12049
155	2221	12021
156	2263	12151
157	2272	12109
158	2299	12161
159	2325	12208
160	2348	12239
161	2364	12229
162	2378	12214
163	2392	12195
164	2405	12172
165	2417	12146
166	2431	12127
167	2445	12108
168	2457	12085
169	2470	12062
170	2483	12038
171	2496	12016
172	2509	11996
173	2520	11964
174	2533	11941
175	2545	11918
176	2560	11903
177	2563	11836
178	2569	11786
179	2582	11766
180	2611	11814
181	2625	11802
182	2639	11782
183	2651	11757
184	2663	11733
185	2677	11716
186	2690	11697
187	2703	11676
188	2715	11652
189	2728	11632
190	2743	11621
191	2758	11606
192	2771	11589
193	2785	11574
194	2799	11557
195	2812	11536
196	2825	11516
197	2838	11499
198	2854	11487
199	2867	11469
200	2879	11447
201	2891	11421
202	2904	11403
203	2917	11383
204	2931	11367
205	2941	11338
206	2957	11328
207	2974	11324
208	2988	11310
209	3001	11293
210	3014	11272
211	3017	11216
212	3030	11197
213	3044	11183
214	3058	11165
215	3071	11147
216	3076	11099
217	3088	11079
218	3101	11060
219	3114	11042
220	3128	11027
221	3141	11009
222	3155	10994
223	3170	10982
224	3184	10967
225	3197	10949
226	3209	10928
227	3221	10909
228	3232	10883
229	3245	10863
230	3257	10842
231	3270	10824
232	3283	10810
233	3297	10794
234	3310	10776
235	3323	10759
236	3336	10743
237	3352	10732
238	3366	10717
239	3379	10700
240	3393	10688
241	3405	10668
242	3419	10652
243	3424	10610
244	3431	10573
245	3444	10556
246	3454	10532
247	3468	10517
248	3491	10529
249	3503	10509
250	3516	10492
251	3530	10478
252	3543	10463
253	3557	10448
254	3573	10441
255	3587	10425
256	3600	10407
257	3613	10392
258	3627	10378
259	3640	10362
260	3653	10343
261	3660	10311
262	3665	10271
263	3679	10256
264	3692	10241
265	3705	10224
266	3717	10205
267	3730	10189
268	3745	10179
269	3755	10152
270	3760	10116
271	3765	10077
272	3774	10052
273	3787	10035
274	3799	10017
275	3812	10001
276	3826	9986
277	3840	9974
278	3854	9959
279	3866	9941
280	3871	9905
281	3883	9888
282	3896	9871
283	3909	9856
284	3918	9831
285	3931	9814
286	3945	9802
287	3960	9790
288	3979	9790
289	4014	9828
290	4024	9804
291	4038	9791
292	4051	9775
293	4064	9760
294	4078	9746
295	4089	9726
296	4102	9709
297	4113	9690
298	4127	9676
299	4141	9662
300	4154	9648
301	4166	9629
302	4176	9608
303	4182	9575
304	4190	9548
305	4202	9532
306	4216	9516
307	4229	9501
308	4241	9485
309	4255	9471
310	4264	9447
311	4276	9429
312	4289	9414
313	4302	9399
314	4312	9377
315	4324	9360
316	4338	9347
317	4353	9337
318	4367	9323
319	4380	9308
320	4386	9279
321	4391	9246
322	4398	9218
323	4411	9203
324	4415	9171
325	4428	9156
326	4440	9139
327	4453	9125
328	4467	9110
329	4473	9082
330	4487	9069
331	4501	9056
332	4514	9043
333	4529	9032
334	4543	9019
335	4556	9005
336	4572	8994
337	4585	8980
338	4598	8966
339	4612	8953
340	4624	8937
341	4637	8921
342	4645	8899
343	4658	8882
344	4669	8866
345	4683	8852
346	4696	8837
347	4709	8823
348	4712	8789
349	4725	8775
350	4729	8745
351	4744	8733
352	4759	8724
353	4772	8709
354	4784	8692
355	4796	8676
356	4808	8660
357	4821	8647
358	4830	8624
359	4843	8610
360	4855	8594
361	4863	8571
362	4868	8542
363	4880	8527
364	4916	8553
365	4937	8553
366	4952	8541
367	4965	8528
